source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Propos du 18 avril 1923, Gallimard.§droit|justice|paix§1923§Où donc la justice ? En ceci que le jugement ne résulte point des forces, mais d'un débat libre, devant un arbitre qui n'a point d'intérêts dans le jeu. Cette condition suffit, et elle doit suffire parce que les conflits entre les droits sont obscurs et difficiles. Ce qui est juste, c'est d'accepter d'avance l'arbitrage ; non pas l'arbitrage juste, mais l'arbitrage. L'acte juridique essentiel consiste en ceci que l'on renonce solennellement à soutenir son droit par la force. Ainsi ce n'est pas la paix qui est par le droit ; car, par le droit, à cause des apparences du droit, et encore illuminées par les passions, c'est la guerre qui sera, la guerre sainte ; et toute guerre est sainte. Au contraire, c'est le droit qui sera par la paix, attendu que l'ordre du droit suppose une déclaration préalable de paix, avant l'arbitrage, pendant l'arbitrage et après l'arbitrage, et que l'on soit content ou non. Voilà ce que c'est qu'un homme pacifique. Mais l'homme dangereux est celui qui veut la paix par le droit, disant qu'il n'usera point de la force, et qu'il le jure, pourvu que son droit soit reconnu. Cela promet de beaux jours.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des Beaux-Arts, tome I, 7. Texte donné au Bac à Rennes en 1979 (séries C, D, E.)§art|technique|idee§1979§Il reste à dire en quoi l'artiste diffère de l'artisan. Toutes les fois que l'idée précède et règle l'exécution, c'est industrie. Et encore est-il vrai que l'oeuvre souvent, même dans l'industrie, redresse l'idée en ce sens que l'artisan trouve mieux qu'il n'avait pensé dès qu'il essaie ; en cela il est artiste, mais par éclairs. Toujours est-il que la représentation d'une idée dans une chose, je dis même d'une idée bien définie comme le dessin d'une maison, est une oeuvre mécanique seulement, en ce sens qu'une machine bien réglée d'abord ferait l'oeuvre à mille exemplaires. Pensons maintenant au travail du peintre de portrait ; il est clair qu'il ne peut avoir le projet de toutes les couleurs qu'il emploiera à l'oeuvre qu'il commence ; l'idée lui vient à mesure qu'il fait ; il serait même rigoureux de dire que l'idée lui vient ensuite, comme au spectateur, et qu'il est spectateur aussi de son oeuvre en train de naître. Et c'est là le propre de l'artiste. Il faut que le génie ait la grâce de la nature et s'étonne lui-même.Un beau vers n'est pas d'abord en projet, et ensuite fait ; mais il se montre beau au poète ; et la belle statue se montre belle au sculpteur à mesure qu'il la fait ; et le portrait naît sous le pinceau. (...) Ainsi la règle du Beau n'apparaît que dans l'oeuvre et y reste prise, en sorte qu'elle ne peut servir jamais, d'aucune manière, à faire une autre oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§ Texte donné au bac, Maroc, section A, 1984.§passions|fanatisme|pensee§1984§Il y a un fond d'estime, et même quelquefois une secrète admiration, pour des hommes qui mettent en jeu leur propre vie, et sans espérer aucun avantage ; car nous ne sommes point fiers de faire si peu et de risquer si peu pour ce que nous croyons juste ou vrai. Certes je découvre ici des vertus rares, qui veulent respect, et une partie au moins de la volonté. Mais c'est à la pensée qu'il faut regarder. Cette pensée raidie qui se limite, qui ne voit qu'un côté, qui ne comprend point la pensée des autres, ce n'est point la pensée ; c'est une sorte de lieu commun qui revient toujours le même ; lieu commun qui a du vrai, quelquefois même qui est vrai, mais qui n'est pas tout le vrai.Il y a quelque chose de mécanique dans une pensée fanatique, car elle revient toujours par les mêmes chemins. Elle ne cherche plus, elle n'invente plus. Le dogmatisme est comme un délire récitant. Il y manque cette pointe de diamant, le doute, qui creuse toujours. Ces pensées gouvernent admirablement les peurs et les désirs, mais elles ne se gouvernent pas elles-mêmes. Elles ne cherchent pas ces vues de plusieurs points, ces perspectives sur l'adversaire, enfin cette libre réflexion qui ouvre les chemins de persuader, et qui détourne en même temps de forcer. Bref, il y a un emportement de pensée, et une passion de penser qui ressemble aux autres passions.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Vingt Leçons sur les Beaux-Arts (1931), in « Les Arts et les Dieux » , Bibliothèque de la Pléiade, Paris, Ed. Gallimard, 1958, p 475.§imagination|emotion|conscience§1931§Un homme qui a peur sent vivement et presque violemment la présence de ce qui lui fait peur ; mais il s'en faut de beaucoup que l'image qu'il se forme de cet objet soit bien déterminée. Souvent, pour ne pas dire toujours, car le monde ne cesse jamais de nous envelopper, c'est une chose perçue, une chose réelle, qui est tout l'objet de l'imagination. (...) L'imaginaire n'est pas dans l'image, c'est-à-dire dans la connaissance que l'on a de l'objet, mais bien dans l'émotion, c'est-à-dire dans une énergique et confuse réaction de tout le corps soudain en alarme. Et si, au lieu d'interroger l'émotion, qui dicte si naturellement des descriptions fantastiques, on interroge l'objet lui-même, en cherchant si l'imagination y a produit quelque changement d'apparence, on ne trouve rien. (...)Et n'oublions pas que celui qui croit avoir vu et qui s'est enfui est toujours éloquent, et souvent irrité si l'on contredit. Il vaut mieux considérer des images qui n'émeuvent guère et dont on est maître. Chacun sait bien découvrir, dans des feuillages ou dans les fentes du plâtre, un visage humain ou une forme animale ; on la perd, on la retrouve ; c'est un jeu de l'enfance, et, je crois, un jeu de tous les âges. Or je me demande ceci : quand je retrouve ou quand je trouve cette forme imaginaire, peut-on dire que ce que j'ai devant les yeux est autre qu'il n'était ? De souvenir, je répondrais oui ; mais devant l'objet même, et dans le moment que j'y vois la forme qui n'y est point, il faut que je réponde non. Non, la forme que je connais est ce qu'elle doit être ; c'est toujours feuillage ; c'est toujours fissure ou lézarde dans un mur. En suivant cette idée à travers vos expériences, peut-être arriverez-vous, comme j'ai fait, à conclure que ce monde-ci ne nous trompe jamais, même en ses apparences, et que, selon une forte expression de Hegel, il apparaît toujours comme il doit. Mais c'est ce que le passionné ne veut point croire. C'est qu'il sent en son corps une présence, et que cette présence émouvante le détourne de faire attention. Souvent il fuit, ou il se couvre les yeux ; c'est ainsi presque toujours que sont vus les apparitions et les spectres ; on ne fait ensuite qu'exprimer, par des discours éloquents, toute cette peur que l'on a réellement sentie.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§etat|politique|opinion§§Chacun a pu remarquer, au sujet des opinions communes, que chacun les subit et que personne ne les forme. Un citoyen, même avisé et énergique quand il n'a à conduire que son propre destin, en vient naturellement et par une espèce de sagesse à rechercher quelle est l'opinion dominante au sujet des affaires publiques. « Car, se dit-il, comme je n'ai ni la prétention ni le pouvoir de gouverner à moi tout seul, il faut que je m'attende à être conduit ; à faire ce qu'on fera, à penser ce qu'on pensera. » Remarquez que tous raisonnent de même, et de bonne foi. Chacun a bien peut-être une opinion ; mais c'est à peine s'il se la formule à lui-même ; il rougit à la seule pensée qu'il pourrait être seul de son avis.Le voilà donc qui honnêtement écoute les orateurs, lit les journaux, enfin se met à la recherche de cet être fantastique que l'on appelle l'opinion publique. « La question n'est pas de savoir si je veux ou non faire la guerre. » Il interroge donc le pays. Et tous les citoyens interrogent le pays au lieu de s'interroger eux-mêmes.Les gouvernants font de même, et tout aussi naïvement. Car, sentant qu'ils ne peuvent rien tout seuls, ils veulent savoir où ce grand corps va les mener. Et il est vrai que ce grand corps regarde à son tour vers le gouvernement, afin de savoir ce qu'il faut penser et vouloir. Par ce jeu, il n'est point de folle conception qui ne puisse quelque jour s'imposer à tous, sans que personne pourtant l'ait jamais formée de lui-même et par libre réflexion. Bref, les pensées mènent tout, et personne ne pense. D'où il résulte qu'un Etat formé d'hommes raisonnables peut penser et agir comme un fou. Et ce mal vient originairement de ce que personne n'ose former son opinion par lui-même ni la maintenir énergiquement, en lui d'abord, et devant les autres aussi.ALAIN
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§mathematiques|verite§§Nos idées, par exemple de mathématique, d'astronomie, de physique, sont vraies en deux sens. Elles sont vraies par le succès ; elles donnent puissance dans ce monde des apparences. Elles nous y font maîtres, soit dans l'art d'annoncer, soit dans l'art de modifier selon nos besoins ces redoutables ombres au milieu desquelles nous sommes jetés. Mais, si l'on a bien compris par quels chemins se fait le détour mathématique, il s'en faut de beaucoup que ce rapport à l'objet soit la règle suffisante du bien penser. La preuve selon Euclide (1) n'est jamais d'expérience ; elle ne veut point l'être. Ce qui fait notre géométrie, notre arithmétique, notre analyse, ce n'est pas premièrement qu'elles s'accordent avec l'expérience, mais c'est que notre esprit s'y accorde avec lui-même, selon cet ordre du simple au complexe, qui veut que les premières définitions, toujours maintenues, commandent toute la suite de nos pensées. Et c'est ce qui étonne d'abord le disciple, que ce qui est le premier à comprendre ne soit jamais le plus urgent ni le plus avantageux. L'expérience avait fait découvrir ce qu'il faut de calcul et de géométrie pour vivre, bien avant que la réflexion se fût mise en quête de ces preuves subtiles qui refusent le plus possible l'expérience, et mettent en lumière cet ordre selon l'esprit qui veut se suffire à lui-même. Il faut arriver à dire que ce genre de recherches ne vise point d'abord à cette vérité que le monde confirme, mais à une vérité plus pure, toute d'esprit, ou qui s'efforce d'être telle, et qui dépend seulement du bien penser.ALAIN(1) Euclide :  mathématicien grec du IIIe siècle.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Propos sur les pouvoirs, Folio-essais, p. 287.Texte donné au baccalauréat. §liberte|droit|justice§§La liberté des opinions ne peut être sans limites. Je vois qu'on la revendique comme un droit tantôt pour une propagande, tantôt pour une autre. Or, on comprend pourtant bien qu'il n'y a pas de droit sans limites cela n'est pas possible, à moins que l'on ne se place dans l'état de liberté et de guerre, où l'on peut bien dire que l'on se donne tous les droits, mais où, aussi, l'on ne possède que ceux que l'on peut maintenir par sa propre force. Mais dès que l'on fait société avec d'autres, les droits des uns et des autres forment un système équilibré ; il n'est pas dit du tout que tous auront tous les droits possibles ; il est dit seulement que tous auront les mêmes droits ; et c'est cette égalité des droits qui est sans doute la forme de la justice ; car les circonstances ne permettent jamais d'établir un droit tout à fait sans restriction ; par exemple il n'est pas dit qu'on ne barrera pas une rue dans l'intérêt commun ; la justice exige seulement que la rue soit barrée aux mêmes conditions pour tout le monde. Donc je conçois bien que l'on revendique comme citoyen, et avec toute l'énergie que l'on voudra y mettre, un droit dont on voit que les autres citoyens ont la jouissance. Mais vouloir un droit sans limites, cela sonne mal.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§* Propos sur le bonheur, chap. XXIV, Notre avenir, Gallimard, Folio-essais, p. 66.§histoire|destin|causalite§§Tant que l'on n'a pas bien compris la liaison de toutes choses et l'enchaînement des causes et des effets, on est accablé par l'avenir. Un rêve ou la parole d'un sorcier tuent nos espérances ; le présage est dans toutes les avenues. Idée théologique. Chacun connaît la fable de ce poète à qui il avait été prédit qu'il mourrait de la chute d'une maison ; il se mit à la belle étoile ; mais les dieux n'en voulurent point démordre, et un aigle laissa tomber une tortue sur sa tête chauve, la prenant pour une pierre. On conte aussi l'histoire d'un fils de roi qui selon l'oracle, devait périr par un lion ; on le garda au logis avec les femmes ; mais il se fâcha contre une tapisserie qui représentait un lion, s'écorcha le poing sur un mauvais clou, et mourut de gangrène.L'idée qui sort de ces contes, c'est la prédestination que des théologiens mirent plus tard en doctrine ; et cela s'exprime ainsi : la destinée de chacun est fixée quoi qu'il fasse. Ce qui n'est point scientifique du tout ; car ce fatalisme revient à dire : « Quelles que soient les causes, le même effet en résultera. »
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Éléments de philosophie, Gallimard, Folio-essais, p. 214.§autrui|langage|natureculture§§Il est bon de redire que l'homme ne se forme jamais par l'expérience solitaire. Quand par métier il serait presque toujours seul et aux prises avec la nature inhumaine, toujours est-il qu'il n'a pu grandir seul et que ses premières expériences sont de l'homme et de l'ordre humain, dont il dépend d'abord directement ; l'enfant vit de ce qu'on lui donne, et son travail c'est d'obtenir, non de produire. Nous passons tous par cette expérience décisive, qui nous apprend en même temps la parole et la pensée. Nos premières idées sont des mots compris et répétés. L'enfant est comme séparé du spectacle de la nature, et ne commence jamais par s'en approcher tout seul ; on le lui montre et on le lui nomme. C'est donc à travers l'ordre humain qu'il connaît toute chose ; et c'est certainement de l'ordre humain qu'il prend l'idée de lui-même, car on le nomme, et on le désigne à lui-même, comme on lui désigne les autres.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat en 1996.§etat|justice|liberte§1996§Voter, ce n'est pas précisément un des droits de l'homme ; on vivrait très bien sans voter, si l'on avait la sûreté, l'égalité, la liberté. Le vote n'est qu'un moyen de conserver tous ces biens. L'expérience a fait voir cent fois qu'une élite gouvernante, qu'elle gouverne d'après l'hérédité, ou par la science acquise, arrive très vite à priver les citoyens de toute liberté, si le peuple n'exerce pas un pouvoir de contrôle, de blâme et enfin de renvoi. Quand je vote, je n'exerce pas un droit, je défends tous mes droits. Il ne s'agit donc pas de savoir si mon vote est perdu ou non, mais bien de savoir si le résultat cherché est atteint, c'est-à-dire si les pouvoirs sont contrôlés, blâmés et enfin détrônés dès qu'ils méconnaissent les droits des citoyens. On conçoit très bien un système politique, par exemple le plébiscite (1), où chaque citoyen votera une fois librement, sans que ses droits soient pour cela bien gardés. Aussi je ne tiens pas tant à choisir effectivement, et pour ma part, tel ou tel maître, qu'à être assuré que le maître n'est pas le maître, mais seulement le serviteur du peuple. C'est dire que je ne changerai pas mes droits réels pour un droit fictif.ALAIN(1) Vote par lequel un peuple abandonne le pouvoir à un homme.
